,title,pays,deadline,lien,remaining_times
361,"Développement d'un logiciel de gestion intégrée des données numériques de l'UNSTIM (Evaluation, mise à jour et implémentation de nouvelles fonctionnalités) (Poursuite de la procédure démarrée en 2022)",benin,,https://www.j360.info/appels-d-offres/38151223-d%C3%A9veloppement-dun-logiciel-de-gestion-int%C3%A9gr%C3%A9e-des-donn%C3%A9es-num%C3%A9riques-de/,nan days
362,Acquisition de matériels et de consommables informatiques dans le cadre de l'organisation des inscriptions au titre de l'année académique 2023-2024 (Poursuite de la procédure démarrée en 2022),benin,,https://www.j360.info/appels-d-offres/38151224-acquisition-de-mat%C3%A9riels-et-de-consommables-informatiques-dans-le-cadre/,nan days
363,FIT Sport Design Awards,benin,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
364,MEDITATION ROOFS,botswana,2024-01-31,https://www.j360.info/appels-d-offres/39636888-meditation-roofs/,114.0 days
365,"INTERNATIONAL CALL FOR ART, ArtMaze Magazine Edition 36",botswana,2023-10-19,https://www.j360.info/appels-d-offres/39636887-international-call-for-art-artmaze-magazine-edition-36/,10.0 days
366,PROVISION OF ICT SUPPORT SERVICES TO SADC SECRETARIAT,botswana,2023-11-02,https://www.j360.info/appels-d-offres/39630686-provision-of-ict-support-services-to-sadc-secretariat/,24.0 days
367,FuturArc Prize 2024: Architecture for Life After,botswana,2024-02-08,https://www.j360.info/appels-d-offres/39587188-futurarc-prize-2024-architecture-for-life-after/,122.0 days
368,Safelight Paper Solo Shows - Berlin,botswana,2023-10-29,https://www.j360.info/appels-d-offres/39576572-safelight-paper-solo-shows-berlin/,20.0 days
369,TOP 100 BEST IMAGES of Campina Photographic Exhibitions Soci,botswana,2023-11-01,https://www.j360.info/appels-d-offres/39488086-top-100-best-images-of-campina-photographic-exhibitions-soci/,23.0 days
370,TOP 25 BEST AUTHORS of Campina Photographic Exhibitions Soci,botswana,2023-11-01,https://www.j360.info/appels-d-offres/39467693-top-25-best-authors-of-campina-photographic-exhibitions-soci/,23.0 days
371,Poster For___. International Poster Competition,botswana,2023-12-31,https://www.j360.info/appels-d-offres/39350406-poster-for___-international-poster-competition/,83.0 days
372,NOCTURNAL: A NIGHT PHOTOGRAPHY EXHIBITION,botswana,2023-10-12,https://www.j360.info/appels-d-offres/39350407-nocturnal-a-night-photography-exhibition/,3.0 days
373,Rotterdam Photo 2024 - Project Open Call - Imagine,botswana,2023-10-15,https://www.j360.info/appels-d-offres/39350408-rotterdam-photo-2024-project-open-call-imagine/,6.0 days
374,Call for Competitions,botswana,2023-12-15,https://www.j360.info/appels-d-offres/39290610-call-for-competitions/,67.0 days
375,"AAP Magazine #35 Colors, $1,000 Cash Prizes + Publication",botswana,2023-10-10,https://www.j360.info/appels-d-offres/39239154-aap-magazine-35-colors-1000-cash-prizes-publication/,1.0 days
376,The 5th Chelsea International Photography Competition,botswana,2023-10-23,https://www.j360.info/appels-d-offres/39239155-the-5th-chelsea-international-photography-competition/,14.0 days
377,Chicco Launches New Product Design Challenge: Revolutionary,botswana,2023-10-31,https://www.j360.info/appels-d-offres/39239151-chicco-launches-new-product-design-challenge-revolutionary/,22.0 days
378,CYCLIST HOUSE,botswana,2023-12-31,https://www.j360.info/appels-d-offres/39239146-cyclist-house/,83.0 days
379,2024 French Design Awards,botswana,2023-10-17,https://www.j360.info/appels-d-offres/39239149-2024-french-design-awards/,8.0 days
380,Submit your best architectural photo to Archinerds,botswana,2024-12-31,https://www.j360.info/appels-d-offres/39202669-submit-your-best-architectural-photo-to-archinerds/,449.0 days
381,"The Hopper Prize | $3,500 & $1,000 Artist Grants",botswana,2023-11-13,https://www.j360.info/appels-d-offres/38998984-the-hopper-prize-3500-1000-artist-grants/,35.0 days
382,2024 International Artist Grand Prize Competition,botswana,2023-10-30,https://www.j360.info/appels-d-offres/38983922-2024-international-artist-grand-prize-competition/,21.0 days
383,Call For Entry: Vices,botswana,2023-10-15,https://www.j360.info/appels-d-offres/38983924-call-for-entry-vices/,6.0 days
384,Call For Entry: Vices,botswana,2023-10-15,https://www.j360.info/appels-d-offres/38983924-call-for-entry-vices/,6.0 days
385,8th CAMPINA 2023 International Exhibition of Photography,botswana,2023-11-01,https://www.j360.info/appels-d-offres/38983921-8th-campina-2023-international-exhibition-of-photography/,23.0 days
386,TerraViva LOGO,botswana,2023-11-10,https://www.j360.info/appels-d-offres/38983919-terraviva-logo/,32.0 days
387,YICCA 23/24 - International Contest of Contemporary Art,botswana,2023-10-26,https://www.j360.info/appels-d-offres/38983920-yicca-2324-international-contest-of-contemporary-art/,17.0 days
388,"Promoting Accountable, Transparent, and Democratic Governance in Botswana",botswana,2024-08-09,https://www.j360.info/appels-d-offres/38778127-promoting-accountable-transparent-and-democratic-governance-in-botswana/,305.0 days
389,DuPont™ Tyvek® Design Award 2023,botswana,2023-11-30,https://www.j360.info/appels-d-offres/38714962-duponttm-tyvek-design-award-2023/,52.0 days
390,Sony World Photography Awards 2024,botswana,2024-01-12,https://www.j360.info/appels-d-offres/38632267-sony-world-photography-awards-2024/,95.0 days
391,Sony Future Filmmaker Awards 2024,botswana,2024-02-14,https://www.j360.info/appels-d-offres/38581925-sony-future-filmmaker-awards-2024/,128.0 days
392,HIMALAYAN THERMAL BATHS,botswana,2023-10-31,https://www.j360.info/appels-d-offres/38488608-himalayan-thermal-baths/,22.0 days
393,Scenic Vistas Juried Art Competition | Call for Artists,botswana,2023-10-28,https://www.j360.info/appels-d-offres/38152886-scenic-vistas-juried-art-competition-call-for-artists/,19.0 days
394,FIT Sport Design Awards,botswana,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
395,Third Edition of SIT Furniture Design Award,botswana,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
396,LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
397,The Nature Photography Contest 2023,botswana,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
398,THE LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
399,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,botswana,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
400,The 5th Chelsea International Photography Competition,botswana,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
401,FIT Sport Design Awards,botswana,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
402,Third Edition of SIT Furniture Design Award,botswana,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
403,LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
404,The Nature Photography Contest 2023,botswana,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
405,THE LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
406,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,botswana,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
407,The 5th Chelsea International Photography Competition,botswana,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
408,FIT Sport Design Awards,botswana,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
409,Third Edition of SIT Furniture Design Award,botswana,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
410,LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
411,The Nature Photography Contest 2023,botswana,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
412,THE LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
413,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,botswana,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
414,The 5th Chelsea International Photography Competition,botswana,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
415,FIT Sport Design Awards,botswana,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
416,Third Edition of SIT Furniture Design Award,botswana,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
417,LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
418,The Nature Photography Contest 2023,botswana,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
419,THE LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
420,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,botswana,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
421,The 5th Chelsea International Photography Competition,botswana,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
422,FIT Sport Design Awards,botswana,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
423,Third Edition of SIT Furniture Design Award,botswana,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
424,LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
425,The Nature Photography Contest 2023,botswana,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
426,THE LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
427,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,botswana,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
428,The 5th Chelsea International Photography Competition,botswana,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
429,FIT Sport Design Awards,botswana,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
430,Third Edition of SIT Furniture Design Award,botswana,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
431,LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
432,The Nature Photography Contest 2023,botswana,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
433,THE LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
434,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,botswana,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
435,The 5th Chelsea International Photography Competition,botswana,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
436,FIT Sport Design Awards,botswana,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
437,Third Edition of SIT Furniture Design Award,botswana,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
438,LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
439,The Nature Photography Contest 2023,botswana,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
440,THE LIV HOSPITALITY DESIGN AWARDS 2023,botswana,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
441,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,botswana,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
442,The 5th Chelsea International Photography Competition,botswana,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
443,Constitution de son répertoire des fournisseurs et prestataires pour l’année 2023,burkina-faso,,https://www.j360.info/appels-d-offres/39659047-constitution-de-son-r%C3%A9pertoire-des-fournisseurs-et-prestataires-pour-lann%C3%A9e/,nan days
444,Constitution d'une base de données des prestataires de la Mairie de Bouroum-Bouroum,burkina-faso,2023-10-13,https://www.j360.info/appels-d-offres/39659046-constitution-dune-base-de-donn%C3%A9es-des-prestataires-de-la-mairie/,4.0 days
445,Recrutement d’un cabinet pour une évaluation de la mise en œuvre du Schéma Directeur d’Aménagement Numérique (SDAN) du Burkina Faso et révision DU SDAN.,burkina-faso,2023-10-20,https://www.j360.info/appels-d-offres/39659038-recrutement-dun-cabinet-pour-une-%C3%A9valuation-de-la-mise-en/,11.0 days
446,Recrutement d’un cabinet pour une assistance à l’élaboration d’un avis à manifestation d’intérêt pour la réalisation de projets pilotes de réseaux d’accès très haut débit fixe (FWA/5G) en zone urbaine.,burkina-faso,2023-10-20,https://www.j360.info/appels-d-offres/39659039-recrutement-dun-cabinet-pour-une-assistance-%C3%A0-l%C3%A9laboration-dun-avis/,11.0 days
447,Recrutement d’un consultant pour l’évaluation de la mise en œuvre du Schéma Directeur d’Aménagement Numérique (SDAN) du Burkina Faso et révision du SDAN,burkina-faso,2023-10-20,https://www.j360.info/appels-d-offres/39648475-recrutement-dun-consultant-pour-l%C3%A9valuation-de-la-mise-en-%C5%93uvre/,11.0 days
448,Recrutement d’un consultant pour la réalisation d’une étude sur les options de déploiement d'infrastructures de connectivité dans les zones rurales,burkina-faso,2023-10-20,https://www.j360.info/appels-d-offres/39648304-recrutement-dun-consultant-pour-la-r%C3%A9alisation-dune-%C3%A9tude-sur-les/,11.0 days
449,Constitution d’une base de données complémentaire de fournisseurs/prestataires pour l’année 2023,burkina-faso,2023-10-13,https://www.j360.info/appels-d-offres/39637354-constitution-dune-base-de-donn%C3%A9es-compl%C3%A9mentaire-de-fournisseursprestataires-pour-lann%C3%A9e/,4.0 days
450,Consultation d’une base de données de fournisseurs / Prestataires de la Commune de SIN- DOU,burkina-faso,2023-10-13,https://www.j360.info/appels-d-offres/39637352-consultation-dune-base-de-donn%C3%A9es-de-fournisseurs-prestataires-de/,4.0 days
451,constitution de son répertoire de fournisseurs et prestataires pour l’année 2023,burkina-faso,2023-10-13,https://www.j360.info/appels-d-offres/39637353-constitution-de-son-r%C3%A9pertoire-de-fournisseurs-et-prestataires-pour-lann%C3%A9e/,4.0 days
452,Recrutement d’un cabinet pour une évaluation de la mise en œuvre du Schéma Directeur d’Aménagement Numérique (SDAN) du Burkina Faso et révision DU SDAN.,burkina-faso,2023-10-20,https://www.j360.info/appels-d-offres/39637346-recrutement-dun-cabinet-pour-une-%C3%A9valuation-de-la-mise-en/,11.0 days
453,Recrutement d’un cabinet pour une assistance à l’élaboration d’un avis à manifestation d’intérêt pour la réalisation de projets pilotes de réseaux d’accès très haut débit fixe (FWA/5G) en zone urbaine.,burkina-faso,,https://www.j360.info/appels-d-offres/39637347-recrutement-dun-cabinet-pour-une-assistance-%C3%A0-l%C3%A9laboration-dun-avis/,nan days
454,"Acquisitions de matériels informatiques, de mobiliers de bureau et de fourniture de bureau au profit du SP-ITIE et de l’Unité PPP.",burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39637340-acquisitions-de-mat%C3%A9riels-informatiques-de-mobiliers-de-bureau-et-de/,7.0 days
455,MEDITATION ROOFS,burkina-faso,2024-01-31,https://www.j360.info/appels-d-offres/39636888-meditation-roofs/,114.0 days
456,"INTERNATIONAL CALL FOR ART, ArtMaze Magazine Edition 36",burkina-faso,2023-10-19,https://www.j360.info/appels-d-offres/39636887-international-call-for-art-artmaze-magazine-edition-36/,10.0 days
457,"AVIS DE DEMANDE PRIX POUR L’ACQUISITIONS DE MATÉRIELS INFORMATIQUES, DE MOBILIERS DE BUREAU ET DE FOURNITURE DE BUREAU AU PROFIT DU SP-ITIE ET DE L’UNITÉ PPP",burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39651566-avis-de-demande-prix-pour-lacquisitions-de-mat%C3%A9riels-informatiques-de/,7.0 days
458,Constitution d’une base de données de four- nisseurs/prestataires de la Commune de Niangoloko pour l’année 2023,burkina-faso,2023-10-19,https://www.j360.info/appels-d-offres/39623325-constitution-dune-base-de-donn%C3%A9es-de-four-nisseursprestataires-de-la/,10.0 days
459,Constitution d’une base de données de four- nisseurs/prestataires de la mairie de Fo pour l’année 2023,burkina-faso,2023-10-19,https://www.j360.info/appels-d-offres/39623326-constitution-dune-base-de-donn%C3%A9es-de-four-nisseursprestataires-de-la/,10.0 days
460,Constitution d’une base de données de fournisseurs/prestataires du Tribunal de Commerce de Bobo Dioulasso pour l’année 2023,burkina-faso,2023-10-10,https://www.j360.info/appels-d-offres/39623328-constitution-dune-base-de-donn%C3%A9es-de-fournisseursprestataires-du-tribunal-de/,1.0 days
461,Constitution d’une base de données de fournisseurs/prestataires de la DPEPPNF-HOUET pour l’année 2023,burkina-faso,2023-10-10,https://www.j360.info/appels-d-offres/39623327-constitution-dune-base-de-donn%C3%A9es-de-fournisseursprestataires-de-la-dpeppnf-houet/,1.0 days
462,Constitution d’une base de données de fournisseurs/prestataires de l’OFFICE NATIONAL,burkina-faso,2023-10-10,https://www.j360.info/appels-d-offres/39623317-constitution-dune-base-de-donn%C3%A9es-de-fournisseursprestataires-de-loffice-national/,1.0 days
463,"Constitution de répertoire de fournisseurs et de prestataires de l’Office National des Aires Protégées, gestion 2023",burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39623318-constitution-de-r%C3%A9pertoire-de-fournisseurs-et-de-prestataires-de-loffice/,7.0 days
464,"Acquisition et installation de matériels informatiques, de système de vidéo-surveillance et de contrôle d’accès au profit de la Cellule Nationale de Traitement des Informations",burkina-faso,2023-10-17,https://www.j360.info/appels-d-offres/39623311-acquisition-et-installation-de-mat%C3%A9riels-informatiques-de-syst%C3%A8me-de-vid%C3%A9o-surveillance/,8.0 days
465,Acquisition de logiciels CAO textile,burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39623315-acquisition-de-logiciels-cao-textile/,7.0 days
466,"Location de matériels divers dans le cadre du SARA (location de chapiteaux climatisés, tentes, chaises, podium et matériels de lumière groupe électrogène)",burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39623309-location-de-mat%C3%A9riels-divers-dans-le-cadre-du-sara-location/,7.0 days
467,"APPEL D'OFFRES POURLOCATION DE MATÉRIELS DIVERS DANS LE CADRE DU SARA (LOCATION DE CHAPITEAUX CLIMATISÉS, TENTES, CHAISES, PODIUM ET MATÉRIELS DE LUMIÈRE GROUPE ÉLECTROGÈNE)",burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39631756-appel-doffres-pourlocation-de-mat%C3%A9riels-divers-dans-le-cadre-du/,7.0 days
468,APPEL D'OFFRES POUR LIVRAISON DES FOURNITURES,burkina-faso,2023-10-19,https://www.j360.info/appels-d-offres/39631759-appel-doffres-pour-livraison-des-fournitures/,10.0 days
469,"AVIS DE DEMANDE DE PRIX POUR ACQUISITION ET INSTALLATION DE MATÉRIELS INFORMATIQUES, DE SYSTÈME DE VIDÉO-SURVEILLANCE ET DE CONTRÔLE D’ACCÈS AU PROFIT DE LA CELLULE NATIONALE DE TRAITEMENT DES INFORMATIONS …",burkina-faso,2023-10-17,https://www.j360.info/appels-d-offres/39631758-avis-de-demande-de-prix-pour-acquisition-et-installation-de/,8.0 days
470,"Acquisition de matériels informatiques (ordinateurs portables, imprimantes en couleur, imprimantes noir blanc, souris, onduleurs, disques dur externe et clés USB)",burkina-faso,2023-10-12,https://www.j360.info/appels-d-offres/39596820-acquisition-de-mat%C3%A9riels-informatiques-ordinateurs-portables-imprimantes-en-couleur-imprimantes/,3.0 days
471,Constitution d’une base de données de fournisseurs/prestataires de l’OFFICE NATIONAL,burkina-faso,2023-10-12,https://www.j360.info/appels-d-offres/39596819-constitution-dune-base-de-donn%C3%A9es-de-fournisseursprestataires-de-loffice-national/,3.0 days
472,Acquisition et installation de matériels techniques lumière et de sonorisation au profit du CENASA,burkina-faso,2023-10-12,https://www.j360.info/appels-d-offres/39596814-acquisition-et-installation-de-mat%C3%A9riels-techniques-lumi%C3%A8re-et-de-sonorisation/,3.0 days
473,Acquisition et installation de matériels d’écrans multifonctions au profit du CENASA,burkina-faso,2023-10-12,https://www.j360.info/appels-d-offres/39596815-acquisition-et-installation-de-mat%C3%A9riels-d%C3%A9crans-multifonctions-au-profit-du/,3.0 days
474,"Acquisitions de consommables informatiques, de fourniture de bureau, fournitures divers- es et de produit d’entretien au profit des structures du MEFP.",burkina-faso,2023-10-12,https://www.j360.info/appels-d-offres/39596813-acquisitions-de-consommables-informatiques-de-fourniture-de-bureau-fournitures-divers/,3.0 days
475,FuturArc Prize 2024: Architecture for Life After,burkina-faso,2024-02-08,https://www.j360.info/appels-d-offres/39587188-futurarc-prize-2024-architecture-for-life-after/,122.0 days
476,Constitution de son répertoire des fournis- seurs /prestataires pour l’exercice 2023,burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39577292-constitution-de-son-r%C3%A9pertoire-des-fournis-seurs-prestataires-pour-lexercice/,7.0 days
477,Constitution de son répertoire de fournisseurs et prestataires pour l’année 2023,burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39577293-constitution-de-son-r%C3%A9pertoire-de-fournisseurs-et-prestataires-pour-lann%C3%A9e/,7.0 days
478,Constitution de son répertoire des fournis- seurs et prestataires pour l’année 2023,burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39577291-constitution-de-son-r%C3%A9pertoire-des-fournis-seurs-et-prestataires-pour/,7.0 days
479,Constitution d’une base de données de fournisseurs et prestataire de la Commune de Barsalogho à consulter pour les demandes de cotation et de consultations de consultants au titre de l’année …,burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39577290-constitution-dune-base-de-donn%C3%A9es-de-fournisseurs-et-prestataire-de/,7.0 days
480,TIERCE MAINTENANCE APPLICATIVE (ASSISTANCE INTEGRATEUR) DU PROGICIEL JDE ORACLE JDE 9.2 AU PROFIT DE LA SONABHY MANIFESTATION D’INTERET EN VUE D’UNE DEMANDE DE PROPOSITION ALLEGEE A COMMANDES,burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39577281-tierce-maintenance-applicative-assistance-integrateur-du-progiciel-jde-oracle-jde/,7.0 days
481,"Acquisitions de matériels informatiques et péri-informatiques au profit de L’ASCE-LC 47 37, Ier étage; porte 112 de l’Immeuble R+5 de l’ASCE-LC, sise à N°2023­04/ASCE­LC/SG/PRCP du 25 septembre 2023",burkina-faso,2023-10-12,https://www.j360.info/appels-d-offres/39577275-acquisitions-de-mat%C3%A9riels-informatiques-et-p%C3%A9ri-informatiques-au-profit-de-lasce-lc/,3.0 days
482,Acquisition d’équipements techniques au profit de la Radiodiffusion Télévision du Burkina (RTB),burkina-faso,2023-10-11,https://www.j360.info/appels-d-offres/39577277-acquisition-d%C3%A9quipements-techniques-au-profit-de-la-radiodiffusion-t%C3%A9l%C3%A9vision-du/,2.0 days
483,RECRUTEMENT DE PRESTATAIRES POUR LA MAINTENANCE ET LE SUPPORT DU LOGICIEL DE GESTION DES HOMOLOGATIONS ET DES RESSOURCES DE NUMEROTATION ET POUR LA MAINTENANCE DES STATIONS DE CONTROLE DU SPECTRE …,burkina-faso,2023-11-02,https://www.j360.info/appels-d-offres/39577276-recrutement-de-prestataires-pour-la-maintenance-et-le-support-du/,24.0 days
484,Safelight Paper Solo Shows - Berlin,burkina-faso,2023-10-29,https://www.j360.info/appels-d-offres/39576572-safelight-paper-solo-shows-berlin/,20.0 days
485,APPEL D’OFFRES POUR LA TIERCE MAINTENANCE APPLICATIVE (ASSISTANCE INTEGRATEUR) DU PROGICIEL JDE ORACLE JDE 9.2 AU PROFIT DE LA SONABHY,burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39614977-appel-doffres-pour-la-tierce-maintenance-applicative-assistance-integrateur-du/,7.0 days
486,APPEL D’OFFRES POUR LA CONSTITUTION DE SON RÉPERTOIRE DES FOURNISSEURS /PRESTATAIRES POUR L’EXERCICE 2023 (MFPTPS) (REST),burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39614967-appel-doffres-pour-la-constitution-de-son-r%C3%A9pertoire-des-fournisseurs/,7.0 days
487,APPEL D’OFFRES POUR LA CONSTITUTION DE SON RÉPERTOIRE DES FOURNISSEURS ET PRESTATAIRES POUR L’ANNÉE 2023 (RCSD) (DRESRI),burkina-faso,2023-10-16,https://www.j360.info/appels-d-offres/39614972-appel-doffres-pour-la-constitution-de-son-r%C3%A9pertoire-des-fournisseurs/,7.0 days
488,APPEL D’OFFRES POUR L’ACQUISITIONS DE MATÉRIELS INFORMATIQUES ET PÉRI-INFORMATIQUES AU PROFIT DE L’ASCE-LC,burkina-faso,2023-10-12,https://www.j360.info/appels-d-offres/39614980-appel-doffres-pour-lacquisitions-de-mat%C3%A9riels-informatiques-et-p%C3%A9ri-informatiques-au/,3.0 days
489,APPEL D’OFFRES POUR LA CONSTITUTION DU RÉPERTOIRE DE FOURNISSEURS ET PRESTATAIRES POUR L’ANNÉE 2023,burkina-faso,2023-10-13,https://www.j360.info/appels-d-offres/39569021-appel-doffres-pour-la-constitution-du-r%C3%A9pertoire-de-fournisseurs-et/,4.0 days
490,APPEL D’OFFRES POUR LA CONSTITUTION D’UNE BASE DE DONNÉES DE FOURNISSEURS ET PRESTATAIRES DE LA COMMUNE RURALE DE DOUNA AU TITRE DE L’ANNÉE 2023,burkina-faso,2023-10-13,https://www.j360.info/appels-d-offres/39569020-appel-doffres-pour-la-constitution-dune-base-de-donn%C3%A9es-de/,4.0 days
491,APPEL D’OFFRES POUR LA FOURNITURE D’UN KIT DE LICENCES À LA SONABEL,burkina-faso,2023-10-10,https://www.j360.info/appels-d-offres/39583176-appel-doffres-pour-la-fourniture-dun-kit-de-licences-%C3%A0/,1.0 days
492,APPEL D’OFFRES POUR L'ACQUISITION DE MATÉRIEL INFORMATIQUE AU PROFIT DE L’ONASER,burkina-faso,2023-10-10,https://www.j360.info/appels-d-offres/39583177-appel-doffres-pour-lacquisition-de-mat%C3%A9riel-informatique-au-profit-de/,1.0 days
493,Constitution d’une base de données de fournisseurs et prestataires de la Commune rurale de Douna au titre de l’année 2023,burkina-faso,2023-10-13,https://www.j360.info/appels-d-offres/39548539-constitution-dune-base-de-donn%C3%A9es-de-fournisseurs-et-prestataires-de/,4.0 days
